disease,MEDICATION:
IV Catheter Clot,alteplase
Japanese Encephalitis Virus Prophylaxis,"japanese enceph vacc sa14-14-2, inactivated"
Jet Lag,armodafinil
Joint Infection,clindamycin; ciprofloxacin; cefuroxime; metronidazole; ceftriaxone; cefazolin; amikacin; ceftazidime; penicillin g sodium
Juvenile Rheumatoid Arthritis,meloxicam; naproxen; prednisone; sulfasalazine; celecoxib; etodolac; aspirin; ibuprofen; dexamethasone; etanercept; oxaprozin; sulindac; meloxicam; naproxen; prednisone; sulfasalazine; celecoxib; etodolac; aspirin; ibuprofen; dexamethasone; etanercept; oxaprozin; sulindac; meloxicam; naproxen; prednisone; sulfasalazine; celecoxib; etodolac; aspirin; ibuprofen; dexamethasone; etanercept; oxaprozin; sulindac
Juvenile Idiopathic Arthritis,methotrexate; etanercept; tocilizumab; adalimumab; canakinumab; infliximab; abatacept
Kawasaki Disease (Mucocutaneous Lymph Node Syndrome),aspirin; immune globulin intravenous; infliximab; aspirin; immune globulin intravenous; infliximab
Keloids,triamcinolone
Keratitis,prednisolone; dexamethasone / tobramycin; loteprednol; dexamethasone; prednisone; triamcinolone; bacitracin / neomycin / polymyxin b; corticotropin; dexamethasone / neomycin / polymyxin b; prednisolone / sulfacetamide sodium; dexamethasone; hydrocortisone / neomycin / polymyxin b
Keratoconjunctivitis,diclofenac; dexamethasone / neomycin / polymyxin b; prednisolone / sulfacetamide sodium; cromolyn; bacitracin / neomycin / polymyxin b; lodoxamide; gentamicin / prednisolone; hydrocortisone / neomycin / polymyxin b; bacitracin / polymyxin b
Keratosis,fluorouracil; imiquimod; diclofenac; collagenase; ingenol; aminolevulinic acid; methyl aminolevulinate; fluorouracil; imiquimod; diclofenac; collagenase; ingenol; aminolevulinic acid; methyl aminolevulinate
Kidney Infections (Pyelonephritis),ciprofloxacin; cephalexin; sulfamethoxazole / trimethoprim; levofloxacin; amoxicillin / clavulanate; ceftriaxone; cefuroxime; methenamine; cefazolin; cefepime; cefotaxime; cefpodoxime; ciprofloxacin; cephalexin; sulfamethoxazole / trimethoprim; levofloxacin; amoxicillin / clavulanate; ceftriaxone; cefuroxime; methenamine; cefazolin; cefepime; cefotaxime; cefpodoxime
Nephrolithiasis,potassium citrate; potassium citrate; potassium citrate
Klinefelter Syndrome,testosterone
Linear IgA Disease,dapsone; colchicine; mycophenolate mofetil; dapsone; colchicine; mycophenolate mofetil; dapsone; colchicine; mycophenolate mofetil; dapsone; colchicine; mycophenolate mofetil; dapsone; colchicine; mycophenolate mofetil
Labor Induction,oxytocin; misoprostol; dinoprostone
Labor Pain,butorphanol; oxymorphone; ropivacaine
Lactation Suppression,clomiphene
Lactose Intolerance,lactase
Lymphangioleiomyomatosis,sirolimus; sirolimus; sirolimus
Langerhans' Cell Histiocytosis,indomethacin
"Lead Poisoning, Mild",edetate calcium disodium
"Lead Poisoning, Severe",succimer; edetate calcium disodium
Plantar Fibromatosis,clobetasol; triamcinolone; clobetasol; triamcinolone; clobetasol; triamcinolone; clobetasol; triamcinolone; clobetasol; triamcinolone
Left Ventricular Dysfunction,carvedilol; metoprolol; ramipril; valsartan; enalapril; benazepril; captopril; perindopril; quinapril; fosinopril; moexipril; trandolapril; carvedilol; metoprolol; ramipril; valsartan; enalapril; benazepril; captopril; perindopril; quinapril; fosinopril; moexipril; trandolapril; carvedilol; metoprolol; ramipril; valsartan; enalapril; benazepril; captopril; perindopril; quinapril; fosinopril; moexipril; trandolapril; carvedilol; metoprolol; ramipril; valsartan; enalapril; benazepril; captopril; perindopril; quinapril; fosinopril; moexipril; trandolapril
Left Ventriculography,ioversol; iopromide
Legionella Pneumonia,azithromycin; clarithromycin; erythromycin; rifampin
Lemierre's Syndrome,chloramphenicol; metronidazole; clindamycin; cilastatin / imipenem; chloramphenicol; metronidazole; clindamycin; cilastatin / imipenem; chloramphenicol; metronidazole; clindamycin; cilastatin / imipenem
Lennox-Gastaut Syndrome,clobazam; rufinamide; topiramate; felbamate; cannabidiol
Leprosy,dapsone; rifampin; clofazimine
"Leprosy, Borderline",rifampin
"Leprosy, Dapsone-Resistant",clofazimine
"Leprosy, Dapsone-Sensitive",clofazimine
"Leprosy, Erythema Nodosum Leprosum",thalidomide; clofazimine
"Leprosy, Lepromatous",dapsone
"Leprosy, Tuberculoid",rifampin; dapsone
Leptospirosis,ampicillin; penicillin g potassium; penicillin g sodium
Leukocytoclastic Vasculitis,dapsone; idarubicin
Lhermitte's Sign,gabapentin
Lichen Planus,clobetasol; triamcinolone; prednisone; triamcinolone; betamethasone; fluocinonide
Lichen Sclerosus,clobetasol; fluocinolone; betamethasone; triamcinolone; prednisone; fluticasone; tretinoin; clobetasol; fluocinolone; betamethasone; triamcinolone; prednisone; fluticasone; tretinoin
Lichen Simplex Chronicus,triamcinolone; doxepin; aloe polysaccharides / iodoquinol; triamcinolone; doxepin; aloe polysaccharides / iodoquinol; triamcinolone; doxepin; aloe polysaccharides / iodoquinol; triamcinolone; doxepin; aloe polysaccharides / iodoquinol
Light Anesthesia,midazolam; diazepam; lorazepam; cisatracurium
Light Sedation,diazepam; midazolam; promethazine; chlorpromazine; meperidine; chlordiazepoxide; secobarbital; levorphanol
Lipodystrophy,tesamorelin; metreleptin
Liposarcoma,eribulin; palbociclib
Lithium Tremor,nadolol
Liver Magnetic Resonance Imaging,gadoxetate disodium
Liver Metastasis in Adenocarcinoma,floxuridine
Local Anesthesia,lidocaine; bupivacaine; mepivacaine; lidocaine; cocaine; articaine / epinephrine; ropivacaine; epinephrine / lidocaine; tetracaine; dibucaine; chloroprocaine
Loeffler's Syndrome (Pulmonary Eosinophilia),prednisone; dexamethasone; triamcinolone; cortisone; prednisone; dexamethasone; triamcinolone; cortisone
Loiasis,albendazole
Long QT Syndrome,nadolol
Lower Limb Spasticity,onabotulinumtoxinA; abobotulinumtoxinA
Toxic Epidermal Necrolysis,prednisone; dexamethasone; infliximab; prednisone; dexamethasone; infliximab
"Lyme Disease, Arthritis",hydroxychloroquine; doxycycline; amoxicillin; tetracycline; ceftriaxone; cefotaxime
"Lyme Disease, Carditis",amoxicillin; doxycycline; cefotaxime; ceftriaxone; tetracycline
"Lyme Disease, Erythema Chronicum Migrans",azithromycin; doxycycline; amoxicillin; penicillin v potassium; tetracycline
"Lyme Disease, Neurologic",doxycycline; amoxicillin; tetracycline; ceftriaxone; cefotaxime; penicillin g potassium
Lymphocytic Colitis,loperamide; sulfasalazine; mesalamine; bismuth subsalicylate
Lymphogranuloma Venereum,erythromycin; doxycycline
Lysosomal Acid Lipase Deficiency,sebelipase alfa; sebelipase alfa
Macrophage Activation Syndrome,etanercept
Macular Degeneration,ranibizumab; aflibercept; bevacizumab; verteporfin; pegaptanib; brolucizumab
Macular Edema,dexamethasone; ranibizumab; aflibercept; fluocinolone
Malaria,artemether / lumefantrine; mefloquine; doxycycline; chloroquine; hydroxychloroquine; atovaquone / proguanil; clindamycin; primaquine; atovaquone
Malaria Prevention (Malaria Prophylaxis),doxycycline; atovaquone / proguanil; mefloquine; chloroquine; hydroxychloroquine; primaquine; pyrimethamine; tafenoquine; doxycycline; atovaquone / proguanil; mefloquine; chloroquine; hydroxychloroquine; primaquine; pyrimethamine; tafenoquine
Malignant Hyperthermia,dantrolene
Malignant Pleural Effusion,bleomycin
Manscaping Pain,lidocaine
Mantle Cell Lymphoma,ibrutinib; rituximab; lenalidomide; bortezomib; methotrexate; cyclophosphamide; acalabrutinib; cytarabine; doxorubicin; mitoxantrone; vincristine; zanubrutinib
Systemic Mastocytosis,cromolyn; omeprazole; lansoprazole; imatinib; midostaurin; cromolyn; omeprazole; lansoprazole; imatinib; midostaurin; cromolyn; omeprazole; lansoprazole; imatinib; midostaurin
McCune-Albright Syndrome,tamoxifen; anastrozole
Mild Cognitive Impairment,donepezil; donepezil; donepezil
Mixed Connective Tissue Disease,prednisone; prednisone
Myelodysplastic Syndrome,filgrastim; azacitidine; decitabine; filgrastim; azacitidine; decitabine
Measles,immune globulin intramuscular
Measles Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine; measles virus vaccine; measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
Medical Procedures,sodium chloride; formaldehyde
"Melanoma, Metastatic",ipilimumab; nivolumab; trametinib; dabrafenib; pembrolizumab; temozolomide; vemurafenib; isotretinoin; dacarbazine; peginterferon alfa-2b; aldesleukin; cobimetinib; talimogene laherparepvec
Melasma,fluocinolone / hydroquinone / tretinoin; tranexamic acid
Melioidosis,sulfamethoxazole / trimethoprim; amoxicillin / clavulanate; doxycycline; ceftazidime
Meniere's Disease,diazepam
Meningitis,ceftriaxone; meropenem; vancomycin; sulfamethoxazole / trimethoprim; metronidazole; cefotaxime; rifampin; chloramphenicol; amikacin; triamcinolone; gentamicin; ampicillin; ceftazidime; cefuroxime; cilastatin / imipenem
"Meningitis, Haemophilus influenzae",dexamethasone
"Meningitis, Listeriosis",dexamethasone
"Meningitis, Meningococcal",dexamethasone; minocycline; penicillin g sodium; meningococcal group B vaccine; penicillin g potassium
"Meningitis, Pneumococcal",dexamethasone; penicillin g potassium; penicillin g sodium
"Meningitis, Streptococcus Group B",penicillin g potassium; penicillin g sodium
Meningococcal Meningitis Prophylaxis,ceftriaxone; ciprofloxacin; rifampin; meningococcal conjugate vaccine; meningococcal group B vaccine
Menstrual Disorders,tranexamic acid; drospirenone / ethinyl estradiol; ethinyl estradiol / norethindrone
Mercury Poisoning,dimercaprol
Metabolic Acidosis,sodium bicarbonate; citric acid / potassium citrate / sodium citrate
"Metagonimus yokogawai, Intestinal Fluke",praziquantel
Methanol Poisoning,fomepizole
Methotrexate Overdosage,levoleucovorin; leucovorin; glucarpidase
Methotrexate Rescue,leucovorin; levoleucovorin
Microscopic polyangiitis,rituximab; rituximab
Microsporidiosis,itraconazole; albendazole
Migraine Prevention (Migraine Prophylaxis),topiramate; propranolol; amitriptyline; verapamil; nortriptyline; amlodipine; atenolol; baclofen; lisinopril; divalproex sodium; clonazepam; zonisamide; olmesartan; metoprolol; topiramate; propranolol; amitriptyline; verapamil; nortriptyline; amlodipine; atenolol; baclofen; lisinopril; divalproex sodium; clonazepam; zonisamide; olmesartan; metoprolol
Transient Ischemic Attack,clopidogrel; aspirin; clopidogrel; aspirin; clopidogrel; aspirin
Minor Skin Conditions,vitamin a & d; benzoin
Minor Skin Irritation,vitamin a & d; pramoxine / zinc acetate; camphor / menthol; vitamin a & d; pramoxine / zinc acetate; camphor / menthol
Molluscum Contagiosum,imiquimod
Moniliformis Infection,pyrantel
Monkeypox Prophylaxis,smallpox and monkeypox vaccine
Nausea/Vomiting of Pregnancy,doxylamine / pyridoxine; calcium / folic acid / ginger / pyridoxine; doxylamine / pyridoxine; calcium / folic acid / ginger / pyridoxine; doxylamine / pyridoxine; calcium / folic acid / ginger / pyridoxine
Mucopolysaccharidosis Type IV,elosulfase alfa; elosulfase alfa; elosulfase alfa
Motion Sickness,meclizine; promethazine; scopolamine; dimenhydrinate; diphenhydramine; meclizine; promethazine; scopolamine; dimenhydrinate; diphenhydramine
Mountain Sickness / Altitude Sickness,acetazolamide; dexamethasone
Multiple Sclerosis,prednisone; glatiramer; dalfampridine; fingolimod; interferon beta-1a; dexamethasone; dimethyl fumarate; natalizumab; teriflunomide; prednisone; glatiramer; dalfampridine; fingolimod; interferon beta-1a; dexamethasone; dimethyl fumarate; natalizumab; teriflunomide
Muckle Wells Syndrome,canakinumab; rilonacept; canakinumab; rilonacept
Mucopolysaccharidosis Type II,idursulfase
Mucopolysaccharidosis Type VI,galsulfase
Mucositis,chlorhexidine; palifermin; saliva substitutes; sodium hyaluronate
Multifocal Motor Neuropathy,immune globulin intravenous and subcutaneous
Multiple Endocrine Adenomas,omeprazole; lansoprazole; omeprazole; lansoprazole
Osteolytic Bone Lesions of Multiple Myeloma,zoledronic acid; pamidronate; denosumab; zoledronic acid; pamidronate; denosumab
Mumps Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine; measles virus vaccine / mumps virus vaccine / rubella virus vaccine; mumps virus vaccine
Myasthenia Gravis,pyridostigmine; azathioprine; mycophenolate mofetil; neostigmine; immune globulin intravenous; ephedrine; eculizumab
"Mycobacterium avium-intracellulare, Prophylaxis",azithromycin; ethambutol; clarithromycin; rifabutin
"Mycobacterium avium-intracellulare, Treatment",ethambutol; azithromycin; rifampin; clarithromycin; rifabutin; ciprofloxacin; ofloxacin; streptomycin; amikacin liposome
Mycobacterium kansasii,isoniazid
Mycoplasma Pneumonia,azithromycin; clarithromycin; doxycycline; erythromycin; minocycline
Mycosis Fungoides,prednisone; dexamethasone; methotrexate; mechlorethamine; brentuximab; cyclophosphamide; vinblastine; mogamulizumab
Myelodysplastic Diseases,lenalidomide; imatinib
Myelography,iohexol
Spina bifida,oxybutynin; oxybutynin
Myeloproliferative Disorders,ruxolitinib; imatinib
"Myocardial Infarction, Prophylaxis",aspirin; pravastatin; clopidogrel; prasugrel; ticagrelor
Myopathy,azathioprine
Myopic Choroidal Neovascularization,ranibizumab
Myxedema,liothyronine
Myxedema Coma,levothyroxine; liothyronine
Nail Dystrophy,poly-ureaurethane
Naophyetus salmincola,praziquantel
Neonatal Abstinence Syndrome,morphine; morphine; morphine
Nasal Carriage of Staphylococcus aureus,mupirocin; rifampin
Nasal Polyps,fluticasone; mometasone; beclomethasone; fluticasone; mometasone; beclomethasone
"Nasal Polyps, Prevention",beclomethasone; beclomethasone
Nausea/Vomiting,ondansetron; promethazine; metoclopramide; prochlorperazine; meclizine; lorazepam; hydroxyzine; diphenhydramine; scopolamine; dimenhydrinate; ondansetron; promethazine; metoclopramide; prochlorperazine; meclizine; lorazepam; hydroxyzine; diphenhydramine; scopolamine; dimenhydrinate; ondansetron; promethazine; metoclopramide; prochlorperazine; meclizine; lorazepam; hydroxyzine; diphenhydramine; scopolamine; dimenhydrinate; ondansetron; promethazine; metoclopramide; prochlorperazine; meclizine; lorazepam; hydroxyzine; diphenhydramine; scopolamine; dimenhydrinate
"Nausea/Vomiting, Chemotherapy Induced",ondansetron; dexamethasone; lorazepam; metoclopramide; dronabinol; aprepitant; gabapentin; granisetron; palonosetron; olanzapine; nabilone
"Nausea/Vomiting, Postoperative",ondansetron; metoclopramide; aprepitant; droperidol; granisetron; palonosetron
"Nausea/Vomiting, Radiation Induced",ondansetron; granisetron
Neck Pain,ibuprofen; naproxen; acetaminophen
Necrobiosis Lipoidica Diabeticorum,clobetasol; tretinoin
Neonatal Conjunctivitis,azithromycin
Neoplastic Diseases,methotrexate
Nephrocalcinosis,hydrochlorothiazide
Nephropathic Cystinosis,cysteamine
Nephropathy,lisinopril; methylprednisolone
Nerve Agent Poisoning,atropine / pralidoxime; pralidoxime
Nerve Agent Pretreatment,pyridostigmine
Neuralgia,baclofen; nortriptyline; pregabalin; methylprednisolone; levetiracetam; citalopram; desvenlafaxine; baclofen; nortriptyline; pregabalin; methylprednisolone; levetiracetam; citalopram; desvenlafaxine
Neuritis,interferon beta-1a; triamcinolone
Neuroblastoma,vincristine; cisplatin; cyclophosphamide; dinutuximab; doxorubicin
Neurocysticercosis,albendazole
Neuroendocrine Carcinoma,lanreotide; everolimus; lutetium lu 177 dotatate; lanreotide; everolimus; lutetium lu 177 dotatate
Neuroleptic Malignant Syndrome,carbidopa / levodopa; carbidopa
Neurological Disorders,guanidine
Neuromyelitis Optica,eculizumab
Neuropathic Pain,gabapentin; pregabalin; oxcarbazepine; lidocaine; amitriptyline; doxepin
Peripheral Neuropathy,gabapentin; duloxetine; levocarnitine; carbamazepine; pregabalin; capsaicin; phenytoin; gabapentin; duloxetine; levocarnitine; carbamazepine; pregabalin; capsaicin; phenytoin
Neurosarcoidosis,prednisone; dexamethasone; infliximab; azathioprine; prednisone; dexamethasone; infliximab; azathioprine
Neurosurgery,phenytoin
Neurosyphilis,ceftriaxone; penicillin g sodium; procaine penicillin; penicillin g benzathine; penicillin g potassium
Neurotrophic Keratitis,cenegermin
Neutropenia Associated with AIDS or Zidovudine,filgrastim
Neutropenia Associated with Chemotherapy,pegfilgrastim; filgrastim; sargramostim; tbo-filgrastim
Neutropenia Associated with Radiation,filgrastim; pegfilgrastim; sargramostim
Niacin Deficiency,niacin; niacinamide; niacin; niacinamide
Niacin Flush,aspirin
Niemann-Pick Disease,miglustat
Nocturnal Leg Cramps,vitamin e; carisoprodol; verapamil; vitamin e; carisoprodol; verapamil; vitamin e; carisoprodol; verapamil
Night Terrors,clonazepam; diazepam; imipramine; clonazepam; diazepam; imipramine; clonazepam; diazepam; imipramine
Nightmares,prazosin; risperidone
Nocardiosis,sulfamethoxazole / trimethoprim
Nocturia,desmopressin; desmopressin; desmopressin
Periodic Limb Movement Disorder,clonazepam; gabapentin; ropinirole; pramipexole; baclofen; levodopa; clonazepam; gabapentin; ropinirole; pramipexole; baclofen; levodopa; clonazepam; gabapentin; ropinirole; pramipexole; baclofen; levodopa
Non-24-Hour Sleep Wake Disorder,tasimelteon; tasimelteon; tasimelteon
Nonobstructive Oliguria,dopamine; furosemide; torsemide; ethacrynic acid
Nonoccupational Exposure,lamivudine / zidovudine; atazanavir; lamivudine; tenofovir; emtricitabine / tenofovir; abacavir / lamivudine; abacavir; zidovudine; efavirenz; lopinavir / ritonavir
Noonan's Syndrome,somatropin
Nosocomial Pneumonia,meropenem; levofloxacin; ciprofloxacin; vancomycin; linezolid; piperacillin / tazobactam; ceftazidime; cefepime; amikacin; cilastatin / imipenem
NSAID-Induced Gastric Ulcer,esomeprazole; lansoprazole
NSAID-Induced Ulcer Prophylaxis,misoprostol; lansoprazole; esomeprazole / naproxen; famotidine / ibuprofen
Total Parenteral Nutrition,parenteral nutrition solution w / electrolytes; fat emulsion; parenteral nutrition solution; chromic chloride hexahydrate; trace elements; parenteral nutrition solution w / electrolytes; fat emulsion; parenteral nutrition solution; chromic chloride hexahydrate; trace elements; parenteral nutrition solution w / electrolytes; fat emulsion; parenteral nutrition solution; chromic chloride hexahydrate; trace elements; parenteral nutrition solution w / electrolytes; fat emulsion; parenteral nutrition solution; chromic chloride hexahydrate; trace elements
Obesity,phentermine; topiramate; phendimetrazine; bupropion; orlistat; diethylpropion; methamphetamine; lorcaserin; phentermine / topiramate; bupropion / naltrexone; phentermine; topiramate; phendimetrazine; bupropion; orlistat; diethylpropion; methamphetamine; lorcaserin; phentermine / topiramate; bupropion / naltrexone; phentermine; topiramate; phendimetrazine; bupropion; orlistat; diethylpropion; methamphetamine; lorcaserin; phentermine / topiramate; bupropion / naltrexone
Obsessive Compulsive Disorder,sertraline; fluvoxamine; fluoxetine; clomipramine; clonazepam; escitalopram; citalopram; paroxetine; quetiapine; tramadol; venlafaxine; mirtazapine; ondansetron; ziprasidone; olanzapine; aripiprazole; sertraline; fluvoxamine; fluoxetine; clomipramine; clonazepam; escitalopram; citalopram; paroxetine; quetiapine; tramadol; venlafaxine; mirtazapine; ondansetron; ziprasidone; olanzapine; aripiprazole; sertraline; fluvoxamine; fluoxetine; clomipramine; clonazepam; escitalopram; citalopram; paroxetine; quetiapine; tramadol; venlafaxine; mirtazapine; ondansetron; ziprasidone; olanzapine; aripiprazole; sertraline; fluvoxamine; fluoxetine; clomipramine; clonazepam; escitalopram; citalopram; paroxetine; quetiapine; tramadol; venlafaxine; mirtazapine; ondansetron; ziprasidone; olanzapine; aripiprazole; sertraline; fluvoxamine; fluoxetine; clomipramine; clonazepam; escitalopram; citalopram; paroxetine; quetiapine; tramadol; venlafaxine; mirtazapine; ondansetron; ziprasidone; olanzapine; aripiprazole
Obstructive Sleep Apnea/Hypopnea Syndrome,modafinil; armodafinil; solriamfetol
Occupational Exposure,lamivudine / zidovudine; efavirenz; emtricitabine / tenofovir; raltegravir; zidovudine; tenofovir; abacavir; lamivudine; emtricitabine; abacavir / lamivudine
Ocular Fungal Infection,voriconazole
Ocular Rosacea,doxycycline; minocycline; erythromycin; tetracycline
Oppositional Defiant Disorder,lisdexamfetamine; lisdexamfetamine
Oligospermia,clomiphene
Oliguria,furosemide; mannitol
"Onchocerciasis, River Blindness",ivermectin; moxidectin
Oophorectomy,estradiol; conjugated estrogens; conjugated estrogens / medroxyprogesterone; estropipate; esterified estrogens; ethinyl estradiol
Ophthalmic Surgery,"ofloxacin; moxifloxacin; ciprofloxacin; levofloxacin; lidocaine; proparacaine; besifloxacin; gatifloxacin; ketorolac / phenylephrine; ophthalmic irrigation, intraocular"
Ophthalmic Surgical Staining,trypan blue
Ophthalmic Viscoelastic Agent,sodium hyaluronate; sodium chondroitin sulfate / sodium hyaluronate
Opiate Adjunct,promethazine
Opiate Dependence,buprenorphine / naloxone; buprenorphine; naltrexone; buprenorphine / naloxone; buprenorphine; naltrexone; buprenorphine / naloxone; buprenorphine; naltrexone
Opiate Dependence - Induction,buprenorphine; buprenorphine
Opiate Dependence - Maintenance,buprenorphine; buprenorphine
Opiate Withdrawal,methadone; clonidine; methocarbamol; chlorpromazine; chlordiazepoxide; lofexidine; methadone; clonidine; methocarbamol; chlorpromazine; chlordiazepoxide; lofexidine
Opioid Overdose,naloxone
"Opisthorchis viverrini, Liver Fluke",praziquantel
Optic Neuritis,corticotropin
Oral Allergy Syndrome,epinephrine
Orbicularis Oculi,onabotulinumtoxinA
"Organ Transplant, Rejection Prophylaxis",tacrolimus; mycophenolate mofetil; cyclosporine; azathioprine; sirolimus; everolimus; basiliximab; cyclophosphamide; daclizumab
"Organ Transplant, Rejection Reversal",tacrolimus
Organophosphate Poisoning,atropine; atropine / pralidoxime; pralidoxime; tropicamide
Ornithosis,chloramphenicol; tetracycline; doxycycline
Osteomalacia,"ergocalciferol; calcium lactate; calcium phosphate, tribasic"
Osteopenia,calcium carbonate; cholecalciferol / genistein / zinc glycinate
Osteopetrosis,interferon gamma-1b
Ovulation Induction,clomiphene; chorionic gonadotropin (hcg); follicle stimulating hormone; menotropins; cetrorelix
Paget's Disease,alendronate; zoledronic acid; etidronate; risedronate; calcitonin; pamidronate
Pulmonary Hypertension,sildenafil; isosorbide dinitrate; tadalafil; ambrisentan; bosentan; treprostinil; macitentan; epoprostenol; iloprost; riociguat; sildenafil; isosorbide dinitrate; tadalafil; ambrisentan; bosentan; treprostinil; macitentan; epoprostenol; iloprost; riociguat; sildenafil; isosorbide dinitrate; tadalafil; ambrisentan; bosentan; treprostinil; macitentan; epoprostenol; iloprost; riociguat
Pain,tramadol; gabapentin; ibuprofen; oxycodone; acetaminophen / hydrocodone; acetaminophen; hydrocodone; naproxen; ketorolac; amitriptyline; acetaminophen / oxycodone
Pain/Fever,acetaminophen / aspirin / caffeine; naproxen / pseudoephedrine; acetaminophen / dextromethorphan / phenylephrine; acetaminophen / dextromethorphan / doxylamine / phenylephrine
Pancreatic Exocrine Dysfunction,pancrelipase
Pancreatic Secretion,sincalide
Pancreatitis,pancreatin; albumin human
PANDAS Syndrome,fluoxetine; fluoxetine
Panic Disorder,clonazepam; alprazolam; lorazepam; buspirone; sertraline; propranolol; fluoxetine; citalopram; venlafaxine; bupropion; paroxetine; clonazepam; alprazolam; lorazepam; buspirone; sertraline; propranolol; fluoxetine; citalopram; venlafaxine; bupropion; paroxetine; clonazepam; alprazolam; lorazepam; buspirone; sertraline; propranolol; fluoxetine; citalopram; venlafaxine; bupropion; paroxetine
Paracoccidioidomycosis,amphotericin b; itraconazole; ketoconazole
Paraganglioma,iobenguane I 131
"Paragonimus westermani, Lung Fluke",praziquantel
Parkinson's Disease,carbidopa / levodopa; ropinirole; amantadine; pramipexole; selegiline; rasagiline; benztropine; trihexyphenidyl; entacapone; carbidopa / entacapone / levodopa
Parkinson's Disease Psychosis,pimavanserin
Parkinsonian Tremor,carbidopa; zonisamide; scopolamine; nadolol; belladonna
Parkinsonism,levodopa
Paronychia,nystatin; clotrimazole; mupirocin; econazole; bacitracin / neomycin / polymyxin b; bacitracin / hydrocortisone / neomycin / polymyxin b; gentamicin
Paroxysmal Supraventricular Tachycardia,flecainide; flecainide
Paroxysmal Nocturnal Hemoglobinuria,eculizumab; ravulizumab
Patency Maintenance of Indwelling Intravenous Devices,heparin flush
Patent Ductus Arteriosus,indomethacin; ibuprofen; alprostadil
Pathological Hypersecretory Conditions,ranitidine; esomeprazole; famotidine
Pathological Hypersecretory Disorder,magnesium oxide
Pseudobulbar Affect,dextromethorphan / quinidine; dextromethorphan / quinidine
Polycystic Ovary Syndrome,metformin; ethinyl estradiol / levonorgestrel; desogestrel / ethinyl estradiol; ethinyl estradiol / norethindrone; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium; metformin; ethinyl estradiol / levonorgestrel; desogestrel / ethinyl estradiol; ethinyl estradiol / norethindrone; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium; metformin; ethinyl estradiol / levonorgestrel; desogestrel / ethinyl estradiol; ethinyl estradiol / norethindrone; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium; metformin; ethinyl estradiol / levonorgestrel; desogestrel / ethinyl estradiol; ethinyl estradiol / norethindrone; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium
Pediatric Angiocardiography,ioversol
Pediatric Growth Hormone Deficiency,somatropin
Pellagra,niacin
Pelvic Infections,ertapenem; cilastatin / imipenem
Pelvic Inflammatory Disease,doxycycline; metronidazole; clindamycin; azithromycin; ceftriaxone; levofloxacin; cefotaxime; ofloxacin; ceftazidime
Pemphigoid,dapsone; prednisone; prednisolone; doxycycline; azathioprine; mycophenolate mofetil; methotrexate; minocycline; erythromycin; rituximab; tetracycline; cyclophosphamide
Pemphigus,prednisone; dapsone; niacinamide; azathioprine; prednisolone; rituximab; methotrexate; mycophenolate mofetil; dexamethasone; doxycycline; cyclophosphamide; tetracycline; cyclosporine; minocycline
Pemphigus Vulgaris,rituximab
Penicillin Sensitization Testing,benzylpenicilloyl-polylysine
Peptic Ulcer,pantoprazole; famotidine; glycopyrrolate; chlordiazepoxide / clidinium; aluminum hydroxide; methscopolamine; propantheline; belladonna; clidinium
Percutaneous Coronary Intervention,clopidogrel; eptifibatide; bivalirudin; cangrelor
Performance Anxiety,propranolol; propranolol
Perimenopausal Symptoms,progesterone; clonidine; estradiol / progesterone; ospemifene
Periodontitis,doxycycline; chlorhexidine; minocycline; minocycline; carbamide peroxide
Perioral Dermatitis,clindamycin; metronidazole; benzoyl peroxide; erythromycin; pimecrolimus; tacrolimus
Peripheral Arterial Disease,clopidogrel; vorapaxar; rivaroxaban; clopidogrel; vorapaxar; rivaroxaban; clopidogrel; vorapaxar; rivaroxaban
Peripheral Arteriography,iodixanol; iopromide; ioversol
Peripheral Progenitor Cell Transplantation,filgrastim
Peripheral T-cell Lymphoma,pralatrexate; romidepsin; belinostat; pralatrexate; romidepsin; belinostat
Peritoneal dialysis,lvp solution
Peritonitis,clindamycin; metronidazole; ciprofloxacin; vancomycin; ceftazidime; cefotaxime; ceftriaxone; albumin human; cefazolin; cilastatin / imipenem; gentamicin; piperacillin / tazobactam; cefuroxime
Pernicious Anemia,cyanocobalamin
Postherpetic Neuralgia,gabapentin; capsaicin; nortriptyline; pregabalin; gabapentin enacarbil; clonidine; lidocaine; gabapentin; capsaicin; nortriptyline; pregabalin; gabapentin enacarbil; clonidine; lidocaine
Pertussis,azithromycin; erythromycin; clarithromycin; azithromycin; erythromycin; clarithromycin
